breadth,ic,alpha,cost_bps,excess_net,se,sharpe_net,sharpe_gross,excess_vs_rebal,turnover,ic_achieved,n,t
10,0.05,0.2,50.0,-0.043451300094066725,0.003562067027863715,0.47720103823346055,0.5378387617298548,-0.03519521643744522,0.07480581029610732,0.047386756752912255,40,-12.198338704515017
10,0.05,0.35,0.0,0.029759278244481623,0.004201695391281216,0.550411616572009,0.550411616572009,0.028886377613598975,0.13533089287046166,0.047386756752912255,40,7.0826834106618035
10,0.05,0.35,10.0,0.00785996450835396,0.004224626523897536,0.5285123028358812,0.550411616572009,0.00881284116156047,0.13533089287046166,0.047386756752912255,40,1.8605110922568728
10,0.05,0.35,25.0,-0.02498966147226051,0.004271316184391901,0.4956626768552669,0.550411616572009,-0.021298100380635118,0.13533089287046166,0.047386756752912255,40,-5.850576354795948
10,0.05,0.35,50.0,-0.07974012850200575,0.004380663095618715,0.44091220982552154,0.550411616572009,-0.07148404484538425,0.13533089287046166,0.047386756752912255,40,-18.202753044797532
10,0.05,0.5,0.0,0.042108958306240285,0.004905206039543046,0.5627612966337676,0.5627612966337676,0.04123605767535764,0.20083022253167687,0.047386756752912255,40,8.584544250900217
10,0.05,0.5,10.0,0.009684298011832737,0.004929089718918986,0.5303366363393601,0.5627612966337676,0.010637174665039249,0.20083022253167687,0.047386756752912255,40,1.9647234203634318
10,0.05,0.5,25.0,-0.038954227301659684,0.004987157075909971,0.4816981110258676,0.5627612966337676,-0.035262666210034294,0.20083022253167687,0.047386756752912255,40,-7.810908441168756
10,0.05,0.5,50.0,-0.12002000932065768,0.005140745487721583,0.4006323290068696,0.5627612966337676,-0.11176392566403617,0.20083022253167687,0.047386756752912255,40,-23.346810225738572
10,0.05,0.75,0.0,0.06126436038546414,0.006108446042411723,0.5819166987129915,0.5819166987129915,0.060391459754581475,0.32505514507204203,0.047386756752912255,40,10.029451019145924
10,0.05,0.75,10.0,0.009040996960402788,0.0061394700542270085,0.5296933352879301,0.5819166987129915,0.009993873613609297,0.32505514507204203,0.047386756752912255,40,1.472602175847097
10,0.05,0.75,25.0,-0.06929982942001969,0.006227632820998461,0.45135250890750767,0.5819166987129915,-0.06560826832839431,0.32505514507204203,0.047386756752912255,40,-11.12779629305586
10,0.05,0.75,50.0,-0.19987062368645625,0.006480055656530778,0.3207817146410711,0.5819166987129915,-0.19161454002983475,0.32505514507204203,0.047386756752912255,40,-30.843967132446025
10,0.05,1.0,0.0,0.07848505461005996,0.007535952408897154,0.5991373929375873,0.5991373929375873,0.0776121539791773,0.4785898239512588,0.047386756752912255,40,10.414749238251336
10,0.05,1.0,10.0,0.002135026373194305,0.007577860608352983,0.5227873647007216,0.5991373929375873,0.003087903026400815,0.4785898239512588,0.047386756752912255,40,0.2817452686898056
10,0.05,1.0,25.0,-0.11240921188960355,0.007707037814598947,0.4082431264379237,0.5991373929375873,-0.10871765079797817,0.4785898239512588,0.047386756752912255,40,-14.585267984111093
10,0.05,1.0,50.0,-0.3033235295446987,0.008089598654171947,0.2173288087828286,0.5991373929375873,-0.2950674458880772,0.4785898239512588,0.047386756752912255,40,-37.495497924148495
10,0.1,0.0,0.0,0.0,0.0,0.5206523383275273,0.5206523383275273,-0.0008729006308826516,3.4808491448009196e-17,0.09184663253464201,40,0.0
10,0.1,0.0,10.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0009528766532065101,3.4808491448009196e-17,0.09184663253464201,40,0.0
10,0.1,0.0,25.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0036915610916253895,3.4808491448009196e-17,0.09184663253464201,40,0.0
10,0.1,0.0,50.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.008256083656621508,3.4808491448009196e-17,0.09184663253464201,40,0.0
10,0.1,0.025,0.0,0.004542382125373192,0.001978538643252728,0.5251947204529005,0.5251947204529005,0.00366948149449054,0.009087512232251576,0.09184663253464201,40,2.295826842131065
10,0.1,0.025,10.0,0.003067322700376827,0.001981462660407899,0.5237196610279041,0.5251947204529005,0.004020199353583337,0.009087512232251576,0.09184663253464201,40,1.548009337579642
10,0.1,0.025,25.0,0.0008547359438708657,0.0019859556998163496,0.5215070742713982,0.5251947204529005,0.004546297035496255,0.009087512232251576,0.09184663253464201,40,0.43039023677613103
10,0.1,0.025,50.0,-0.002832902180807708,0.0019937273259717854,0.5178194361467197,0.5251947204529005,0.005423181475813799,0.009087512232251576,0.09184663253464201,40,-1.4209075353004408
10,0.1,0.05,0.0,0.0089813811613555,0.002322784380490124,0.5296337194888828,0.5296337194888828,0.00810848053047285,0.018206078419205463,0.09184663253464201,40,3.8666443759452034
10,0.1,0.05,10.0,0.006026701329462961,0.0023291512712691827,0.5266790396569903,0.5296337194888828,0.00697957798266947,0.018206078419205463,0.09184663253464201,40,2.58750962370037
10,0.1,0.05,25.0,0.0015946845071284905,0.002339072882979591,0.5222470228346558,0.5296337194888828,0.00528624559875388,0.018206078419205463,0.09184663253464201,40,0.6817592212420192
10,0.1,0.05,50.0,-0.005792001417016414,0.0023565850573076985,0.5148603369105109,0.5296337194888828,0.0024640822396050925,0.018206078419205463,0.09184663253464201,40,-2.457794340609771
10,0.1,0.1,0.0,0.017269238376602703,0.002742151823124854,0.53792157670413,0.53792157670413,0.01639633774572005,0.03670639783824812,0.09184663253464201,40,6.297695930243324
10,0.1,0.1,10.0,0.01131370359664859,0.00275437862931676,0.531966041924176,0.53792157670413,0.0122665802498551,0.03670639783824812,0.09184663253464201,40,4.107533901196082
10,0.1,0.1,25.0,0.002380380640094976,0.002774061798543388,0.5230327189676223,0.53792157670413,0.006071941731720366,0.03670639783824812,0.09184663253464201,40,0.8580849357230875
