,ew_net,po_net,base_net,nom_net,dr_net,dr_net_learn_delta,dr_net_learn_gamma,dr_net_learn_theta,polab_equal_weight,polab_min_variance,polab_max_sharpe,polab_risk_parity
2018-08-10,-0.0033747426580711063,0.0010211451607104562,-0.011614996819157371,0.020316065100342496,-0.003722358430854022,-0.006372188063265134,-0.0007084214634466384,-0.007279526377279222,-0.0033747426580711054,-0.004160275736931965,0.008115749445568702,-0.003308534149957726
2018-08-17,0.009902781193348888,0.02713070928291233,-0.00829516841140086,0.043687094445570826,0.021343267581386185,0.0340130557629489,0.03366842619609282,0.015689973920827726,0.009902781193348887,0.014374567833278016,0.007436900379061852,0.010443159853246006
2018-08-24,0.0006791580339864161,0.006127104038015142,-0.0007841768316182531,-0.0037511846972117942,-0.0050990977539511675,-0.005735333976854273,0.0026071425784189453,-0.0014679911304529788,0.0006791580339864154,-0.00494655663112275,-0.0009538519257155794,-0.0010033238293126793
2018-08-31,0.005079786127017527,0.0032406322865786326,-0.0008719914844826564,0.025181211137763775,0.01806526893353249,-0.0021223129328628203,-0.0037058321480405326,0.015247873878631475,0.005079786127017528,0.0008925176648199029,0.030067000977319937,0.0038352808542026252
2018-09-07,-0.0034767698692590005,-0.005891424087972039,-0.002269156840744289,-0.007337601879302104,-0.00795971815683512,0.004532230090104824,0.00238589076637205,-0.003553988841150079,-0.003476769869259,0.002801551787866844,-0.015206943876672489,-0.0029345224139557223
2018-09-14,0.010115154620929392,0.009302907601489599,-0.007172846668275038,0.016306718659957156,0.012365418264096501,0.007799078877158294,0.015510226181891197,0.009555554184413407,0.01011515462092939,0.01066242117449493,0.005333529652726733,0.010023702260136163
2018-09-21,0.017021177642085005,-0.0062628577026904095,0.038325990381101314,-0.013323014609371919,0.009300948181568337,-0.010980814109937747,-0.010425781499089574,0.0035592549316815067,0.017021177642085005,0.00515501765481248,-0.004718804459295695,0.013069458269308732
2018-09-28,-0.005975974003852132,0.017481398356713994,-0.04251166729682474,0.025635540220944563,0.01907451851190014,-0.00046377634394736706,0.011001563597795166,0.009670408992057304,-0.005975974003852131,-0.00541986784245362,0.008982017227025527,-0.006107607357032663
2018-10-05,0.0013117443837750873,0.008373234960433362,0.022824253897916497,-0.0010644389253068663,0.005159365907158011,0.0179666344471416,0.01927066266515091,0.0037194628766854185,0.0013117443837750878,0.007649062413508105,-0.016120735443376395,0.0021547339230658428
2018-10-12,-0.02786139633323942,-0.028042413785742654,-0.06691676820640427,-0.051011413585050354,-0.0323986066899337,-0.0314328149506572,-0.03201430747432485,-0.03245112714845154,-0.02786139633323942,-0.029198026414189684,-0.03382160353379901,-0.024606389494246674
2018-10-19,0.004345021582718905,0.009516799813524261,0.008976156385118837,-0.020343817895226785,-0.006047165514116639,0.018520613445594483,0.018398358353650203,-0.0007151506764419906,0.004345021582718905,0.015023904236528399,0.0009736832421757119,0.008208610721428772
2018-10-26,-0.04377679298869647,-0.031057735205014467,-0.041608749220560785,-0.03544792624161693,-0.02098973421665637,-0.022573494891041282,-0.01952992865750022,-0.041546699999402914,-0.04377679298869646,-0.03889990692497061,-0.026543002851762598,-0.04004220941288132
2018-11-02,0.025319146564777698,0.03651883850911027,0.04795977492039972,-0.032237775607546565,-0.011550943380179332,0.006623723833883315,0.013558994691965453,0.014228613716701963,0.025319146564777694,0.011318345665874936,0.008852773717096588,0.021404425149872484
2018-11-09,0.023098621279748023,0.029251911408013594,0.026849971722173554,0.018310004318474342,0.022826054115115978,0.03689522368387479,0.034466517194027047,0.024752760530748742,0.023098621279748023,0.03255764983488385,0.03113079218890346,0.02599187631659242
2018-11-16,-0.018606632604134025,-0.020200464432999724,-0.01168119332860473,-0.05083200189275865,-0.03094292612430074,-0.012426111546777568,-0.017723542763359423,-0.042304600405541105,-0.01860663260413403,-0.018561453112179133,-0.027778445288457652,-0.018747819100909488
2018-11-23,-0.03756831624727567,-0.03419141009542395,-0.030366397326475253,-0.08426194577409454,-0.050796203397974526,-0.026651416486212987,-0.027316270165343295,-0.045617462173238366,-0.03756831624727566,-0.028657257870198904,-0.048243264550010184,-0.03490498276333803
2018-11-30,0.04911933118099501,0.04326556884392684,0.04256915177180589,0.07517915220513419,0.03472145845301691,0.0378704062563884,0.04158750292925613,0.0344489721701713,0.04911933118099501,0.034372799466624505,0.06418499789893384,0.045158471230565926
2018-12-07,-0.04129463033060341,-0.036467937188117736,-0.07104955363530724,-0.054379209104701065,-0.053271340642484434,-0.012873156471998977,-0.019416064043837652,-0.04876477960155296,-0.04129463033060341,-0.013513454765712363,-0.03980983311537361,-0.03321540126644941
2018-12-14,-0.0169732668118368,-0.02449731228567832,-0.029044437254014864,0.002216796518095904,-0.0036788520588237213,-0.001723588873261117,-0.012085429864505885,-0.014380530347233635,-0.0169732668118368,-0.0005088518577586712,-0.008715868635338426,-0.014120277140699827
2018-12-21,-0.06561326259228134,-0.059885013971652495,-0.061023033393260526,-0.09798614216140175,-0.08321163548407609,-0.04428195078532532,-0.04703734394871652,-0.07221714734276662,-0.06561326259228134,-0.056823931274811154,-0.06979370261860941,-0.061908410609869124
2018-12-28,0.023595118090025537,0.024035256205941893,0.028246787707302122,0.0335814014193497,0.010565630171153167,0.0008070650317190597,0.018471725129510955,0.02660699270622645,0.023595118090025537,0.002523525867757446,0.026813841765303062,0.01814004585673839
2019-01-04,0.02525079176620052,0.016353682105268344,0.04843015831155925,-0.03407029206982005,0.01881006881920527,0.0076337810739271665,0.009146728876198268,0.019831752157046,0.02525079176620052,0.010629356028940181,0.023343494519462892,0.02084431864919357
2019-01-11,0.023111806888806596,0.01185633951408422,-0.007746548721985789,0.05574751925575243,0.020454449447927656,0.00437034581197301,0.0030829399387252167,0.023342914654194767,0.023111806888806596,0.015310614712829828,0.02047221531203183,0.020525479260578426
2019-01-18,0.023047286613441617,0.008400214104797413,0.04684215704556046,0.037129039540594995,0.012982504100297228,-0.0029410425006698056,-0.00015138902009218316,0.01219521458319547,0.023047286613441617,-0.0024033482794651763,0.019313803367408393,0.014129569101980741
2019-01-25,-0.0038381112922341483,-6.65776662406802e-05,-0.01147337026196451,0.00854204035139534,0.0028488181894809426,0.005577944025200601,0.003810975443983236,-0.0015359244392776864,-0.003838111292234148,0.005842114998636254,-0.005894676034359387,-0.002125550110042202
2019-02-01,0.00022519385541160987,0.009091244545266115,0.0047393357022701785,0.03070158495579506,0.010424428687415747,0.0033692352701324493,0.0027860316039952787,0.019656025168142795,0.00022519385541160987,0.0043763285540006705,-0.03281736685929411,0.0023556828106790044
2019-02-08,-0.005831342771963111,-0.0005870747388904893,-0.02425875929400577,-0.010788581198199157,-0.005590438057887484,0.0066558210488579135,-0.0006575190156694012,-0.004608810229299166,-0.005831342771963111,0.009940088974284802,-0.002154854630901884,-0.0016964011506919448
2019-02-15,0.027296425165907537,0.01656080395745191,0.04133780544613861,0.006165332719194095,0.023803627001259896,0.006367899892246456,0.01008583196730414,0.022191650532549102,0.027296425165907533,0.011009345064653793,0.025153274072816454,0.02272806505540946
2019-02-22,0.015499671717611664,0.04847919922925495,-0.005210797620693786,0.005777538129646855,0.014669550370110807,0.05451523743290975,0.05612628267030398,0.013593018180501211,0.015499671717611664,0.03791317366793587,0.017417624400722725,0.022014886960538882
2019-03-01,0.0016908658554208983,-0.00597825623495213,-0.005428570990814267,0.01290508819699248,-0.0019305206024971214,-0.0058281400930377605,-0.005643306812724932,-0.01789439852050499,0.001690865855420898,-0.006018398134985191,0.008653383445921217,-0.0007960185771739813
2019-03-08,-0.020062590942143185,-0.0023639255144466574,-0.013597625492160266,-0.019851287582378436,-0.014016056424828423,0.0019857637269550072,0.000849597285666014,-0.010601647784676118,-0.02006259094214318,-0.005201870220149643,-0.020581479895412768,-0.01530871999444141
2019-03-15,0.023408403061113782,0.012690512544128795,0.034365594321214984,0.024101443854979785,0.012122207913512324,0.008682863115208385,0.009239203229760035,0.02747130730922274,0.023408403061113782,0.012901518726704506,0.03398034881089233,0.020376079279293195
2019-03-22,-0.004866317832511614,0.0167461922335055,-0.06372594663823104,0.01328617071470738,-0.005804182984960712,0.0029547789558592944,0.013295735246749945,-0.01110310546683807,-0.004866317832511613,0.0010790217455951636,0.011862073766601833,-0.0011271742771200668
2019-03-29,0.014029591191585656,0.016487198781122946,0.014735365007368408,0.009560362022844198,0.018127740690952188,0.01701510278137796,0.01919676495312143,0.01591102711703162,0.014029591191585658,0.01281795347574077,0.010219354834338168,0.013153915078956508
2019-04-05,0.02347502995165903,0.021880309410020532,0.04818833511957468,0.03854272141787148,0.007938433060391267,0.019196687133157336,0.021513764346958997,0.021644092995852265,0.02347502995165903,0.012555854526654663,0.01394043155158781,0.019402020020462665
2019-04-12,0.014372597220027839,0.009635269944421404,0.056025068762437784,0.006263404123907962,0.011926261803018897,-0.0011124784601663144,-0.001291615807643302,0.011110598141776718,0.014372597220027837,0.012105227809041184,0.00395245068533539,0.012381619108837113
2019-04-19,0.0032852521429588676,-0.0005439685933331731,0.02023199199214971,0.020961070608732802,0.00584066650177042,-0.011329675094891849,-0.009172249757146502,0.003277769229090722,0.003285252142958867,-0.007442673614015521,0.011901120638565774,-0.0007333011017629162
2019-04-26,0.0017832091784914456,0.012238474994476608,0.008901815862353007,0.02028974931979615,0.005414703217139942,0.0010572516292893666,-0.0008070824634696821,-0.005858352349766641,0.001783209178491447,0.0037812785791585916,0.025882380218363907,0.0017635855855623298
